54865,2,0
55054,1,1
55055,1,1
46236,1,1
54863,2,0
54871,2,0
54925,2,0
54925,1,1
9282,2,0
55153,2,0
55143,2,0
55144,2,0
55145,2,0
55254,3,0
36206,1,1
53524,2,0
53524,1,1
53526,2,0
53526,1,1
53527,1,1
53528,3,0
53527,2,0
55035,2,0
55275,3,0
55277,2,0
8850,3,0
43248,1,1
8678,3,0
55063,2,0
55203,2,0
55140,2,0
55180,2,1
55156,2,0
55096,2,0
55085,2,0
8689,3,0
8817,2,0
8816,2,0
8886,2,0
60350,1,1
60346,1,1
60352,1,1
8833,2,0
9331,2,0
9175,2,0
8693,1,1
8695,1,1
8690,1,1
8694,1,1
57683,2,0
57662,2,0
54864,2,0
57680,2,0
60954,1,1
57681,2,0
55270,2,0
55271,3,0
57674,2,0
50485,1,1
57686,2,1
33666,1,1
8883,2,0
8884,2,0
55245,1,1
55150,2,0
55043,2,0
55040,2,0
55039,2,0
55043,2,0
55039,1,1
55040,1,1
53,2,2
53,2,2
21,20,25
34805,15,6
34805,2,0
21,1,2
139,3,1
443,4,0
443,3,1
80,5,3
80,5,3
443,5,1
443,5,1
443,5,1
443,5,1
443,5,1
53,8,4
53,4,2
445,29,24
80,6,4
53,2,2
8080,3,3
80,2,1
80,1,1
80,1,1
443,14,12
53,2,2
53,2,2
53,2,2
53,2,2
53,2,2
53,2,2
53,2,2
53,2,2
53,2,2
53,2,2
53,2,2
22,41,42
22,1,1
22,41,42
22,1,1
443,47,60
443,46,58
443,45,58
443,46,53
443,27,31
443,23,28
443,26,31
443,47,63
443,46,60
443,23,28
443,47,55
443,51,60
443,47,56
443,50,59
443,48,59
443,52,60
443,45,58
443,45,55
443,49,58
443,21,26
443,50,61
443,48,58
443,29,50
443,48,64
443,47,59
443,49,65
443,49,60
443,51,58
443,47,57
443,47,57
443,42,51
443,47,58
443,49,57
443,29,55
443,43,59
443,44,55
443,78,106
443,47,56
443,45,55
443,44,58
443,45,56
443,53,61
443,46,59
443,47,59
443,31,50
443,47,54
443,45,54
443,48,57
443,47,65
443,47,59
443,42,56
443,46,58
443,49,58
443,48,62
443,49,60
443,44,56
443,50,61
443,48,61
443,47,54
443,49,59
443,19,27
443,45,59
443,48,59
443,26,30
443,49,58
443,44,55
443,48,53
443,49,61
443,69,116
443,22,27
443,48,59
443,25,29
443,45,55
443,47,58
443,24,31
443,44,56
443,48,55
443,48,58
443,47,57
443,43,56
443,46,62
443,44,58
443,47,56
443,50,61
443,30,53
443,20,26
443,25,28
443,47,57
443,44,53
443,45,57
443,41,50
443,47,57
443,49,56
443,49,59
443,49,59
443,46,60
443,46,54
443,49,57
443,23,28
443,26,31
443,45,57
443,68,103
443,48,58
443,48,56
443,46,61
443,46,61
443,43,58
443,50,58
443,48,58
443,29,52
443,44,55
443,50,60
443,48,56
443,8,3
443,22,30
443,47,55
443,24,27
443,48,61
443,47,57
443,23,31
443,46,57
443,25,33
443,43,62
443,47,53
443,49,60
443,21,26
443,48,59
443,40,52
443,42,56
443,45,56
443,23,28
443,20,28
443,49,58
443,49,60
443,22,27
443,40,49
443,44,56
443,43,59
443,49,63
443,47,58
443,47,58
443,42,56
443,47,57
443,51,61
443,48,59
443,39,49
443,52,61
443,27,50
443,46,58
443,49,61
443,4,1
443,49,58
443,42,52
443,44,57
443,51,68
443,43,53
443,41,52
443,19,26
443,47,53
443,48,64
443,46,58
443,23,28
443,48,56
443,43,60
443,47,62
443,48,57
443,43,54
443,44,58
443,43,55
443,75,105
443,50,55
443,47,60
443,21,25
443,28,32
443,48,60
